movieID,movieName,movieLinks,movieTags
1,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,Action|Adventure|Fantasy
2,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,Action|Adventure|Drama|Fantasy
3,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,Comedy|Romance
4,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,Drama|Sci-Fi|Suspense
5,Gintama°,https://myanimelist.net/anime/28977/Gintama°,Action|Comedy|Sci-Fi
6,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,Action|Drama
7,Gintama',https://myanimelist.net/anime/9969/Gintama,Action|Comedy|Sci-Fi
8,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,Action|Comedy|Drama|Sci-Fi
9,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,Action|Comedy|Sci-Fi
10,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Action|Adventure|Fantasy
11,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,Drama|Sci-Fi
12,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,Drama|Romance|Supernatural
13,Gintama.,https://myanimelist.net/anime/34096/Gintama,Action|Comedy|Sci-Fi
14,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,Drama|Slice of Life
15,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,Drama|Romance|Supernatural
16,Gintama,https://myanimelist.net/anime/918/Gintama,Action|Comedy|Sci-Fi
17,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,Award Winning|Drama
18,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,Action|Comedy|Sci-Fi
19,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,Award Winning|Drama|Fantasy
20,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,Action|Drama|Sci-Fi
21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,Action|Comedy|Sci-Fi
22,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,Comedy|Mystery|Supernatural
23,Monster,https://myanimelist.net/anime/19/Monster,Drama|Mystery|Suspense
24,Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,Action|Fantasy
25,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Award Winning|Drama|Supernatural
26,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,Action|Fantasy
27,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,
